smiles,pIC50
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,10.03905380426617
Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(C(F)F)c3)c(F)c2)c1,10.0301183562535
Cn1ccc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)n1,10.02826040911222
COC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.025488307262671
Cc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccc1F,10.0
Cc1cccc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,9.98296666070122
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,9.98296666070122
Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(C(F)F)c2)c(F)c1,9.978810700930062
Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(C(F)F)c4)c(F)c3)c2)cn1,9.97469413473523
Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)cnn1C,9.939302159646388
Nc1ncc(C2CCCC(O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.939302159646388
Nc1ncc(C2CCCC(O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Br)c2)c(F)c1,9.913640169325252
CS(=O)(=O)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,9.88941028970075
Cc1cnc(Nc2ccnn2C)nc1-c1cc2n(c1)CCN(Cc1cccc(Cl)c1)C2=O,9.886056647693165
CO[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(Br)c4)c(F)c3)n2)C[C@@H]1O,9.866461091629782
Cc1cc(-c2nc(C3CCOCC3)cnc2N)ccc1C(=O)N[C@H](CO)c1ccccc1,9.866461091629782
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2ccc(F)c(Cl)c2)c(F)c1,9.856985199745903
Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(Cl)c3)c(F)c2)c1,9.838631997765026
C[C@@H](NC(=O)c1ccc(-c2nc(C3CCCCC3)cnc2N)cc1F)c1cc(F)cc(S(C)(=O)=O)c1,9.832682665251824
Cc1cc(-c2cc(-c3cnnn3C)cnc2N)ccc1C(=O)N[C@H](CO)c1cccc(Cl)c1,9.826813731587729
NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCCC(O)C3)cnc2N)cc1F)c1cccc(Cl)c1,9.82390874094432
CC(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccn1,9.82390874094432
Nc1ncc(C2CCC(O)CC2)nc1-c1ccc(C(=O)N[C@H]2C[C@@H]2c2ccccc2)c(F)c1,9.818156412055227
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](CN)c4ccccc4)ncc23)ccn1,9.817015032996418
CCn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.8153085691824
COCCn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.801342913045575
C[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc(=O)n(C)c3)c2cn1)c1ccc(F)cc1,9.799149501908923
Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4cccc(S(C)(=O)=O)c4)ncc23)ccn1,9.798329820353418
O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)cn2CCN1[C@H](CO)c1cccc(Cl)c1,9.795880017344077
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,9.795880017344077
Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(Cl)c3)c(F)c2)c1,9.772113295386326
Cc1cccc([C@@H](CO)NC(=O)c2ccc(-c3cc(-c4cn(C)nc4C)cnc3N)cc2F)c1,9.772113295386326
N[C@H](COc1cncc(-c2ccc3c(c2)C(c2ccco2)C(=O)N3)c1)Cc1c[nH]c2ccccc12,9.769551078621726
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CN(C)C[C@H]4c4ccccc4F)ncc23)ccn1,9.767257937279265
Nc1ncc([C@@H]2CCC(F)(F)[C@@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.747146969020108
Cn1nncc1-c1cnc(N)c(-c2cc(F)c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c(F)c2)c1,9.73754891026957
COC[C@@H](NC(=O)Nc1ncc2c(-c3ccncc3)n[nH]c2c1F)c1ccccc1,9.735890843694191
Nc1ncc([C@H]2CC[C@H](F)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.735182176990463
Nc1ncc(C2CCCCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.7281583934635
Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.718966632752272
Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(Cl)c4)c(F)c3)c2)cn1,9.71669877129645
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4COC[C@H]4c4ccccc4)ncc23)ccn1,9.713543530253018
Cn1cc2c(n1)CCN(c1n[nH]c3cc(NC(=O)N[C@@H](c4ccc(F)cc4)C(C)(C)O)ncc13)C2,9.69897000433602
C[C@@H](O)[C@@H](NC(=O)Nc1cc2[nH]nc(N3CCOCC3)c2cn1)c1ccc(F)cc1,9.69897000433602
O=c1cc(N2CCc3[nH]nc(-c4ccncc4)c3C2)ccn1Cc1cccc(Br)c1,9.69897000433602
C[C@H](O)[C@@H](NC(=O)Nc1cc2[nH]nc(N3CCOCC3)c2cn1)c1ccc(F)cc1,9.69897000433602
CN1C[C@H](c2ccccc2)[C@H](NC(=O)Nc2cc3[nH]nc(N4CCOCC4)c3cn2)C1,9.69897000433602
Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)NC(CN)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.69897000433602
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)ccn1,9.68930668765664
CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCCC(O)C3)cnc2N)cc1F)c1cccc(Cl)c1,9.688246138944246
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H]2C[C@@H]2c2ccccc2)c(F)c1,9.684029654543082
Nc1ncc(-c2ccncc2)nc1-c1ccc(C(=O)N[C@H](CO)c2ccccc2)c(F)c1,9.67778070526608
Nc1ncc(C2CCC(CO)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.667561540084394
Cc1cccc([C@@H](CO)NC(=O)c2ccc(-c3cc(-c4ccnn4C)cnc3N)cc2F)c1,9.66354026615147
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CN(C)C[C@H]4c4ccccc4)ncc23)ccn1,9.66334017654558
Nc1ncc([C@H]2CC[C@@H](O)[C@@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,9.661543506395397
Nc1ncc(C2=CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.659555885159882
Nc1ncc([C@H]2CCC(F)(F)[C@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.655607726314887
C[C@@H](NC(=O)c1ccc(-c2cc(-c3cnnn3C)cnc2N)cc1F)c1cccc(Cl)c1,9.655607726314887
COC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc4nnn(C)c4c3)c2cn1)c1ccccc1,9.655018586072742
COC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccnc(C)c3)c2cn1)c1ccc(F)cc1,9.65169513695184
Nc1ncc([C@H]2CCC[C@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.65169513695184
C[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc4nn(C)cc4c3)c2cn1)c1ccccc1,9.651111276928562
COC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,9.647817481888636
Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(Cl)c3)c(F)c2)c1,9.642065152999546
Cc1cc(-c2n[nH]c3cc(NC(=O)NC(CN)c4ccccc4)ncc23)ccn1,9.635261444944602
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CN(C)C[C@H]4c4cccc(Cl)c4)ncc23)ccn1,9.63264407897398
Cc1cc(-c2n[nH]c3c(F)c(NC(=O)N[C@H](C)c4ccccc4)ncc23)ccn1,9.62874737087506
COC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccncc3)c2cn1)c1ccccc1,9.627640417475677
CC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,9.623423042943488
CS(=O)(=O)c1cc(F)cc(CNC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,9.616184634019568
Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(Cl)c3)c(F)c2)n1,9.614393726401689
Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4cccc(F)c4)ncc23)ccn1,9.610479534153622
CO[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)N[C@H](CNC(C)=O)c4cccc(Cl)c4)c(F)c3)n2)CC1,9.603800652904264
Nc1ncc([C@@H]2CC[C@H](O)[C@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,9.600326278518962
Cn1cc(-c2n[nH]c3cc(NC(=O)NCc4ccc(F)c(Cl)c4)ncc23)cn1,9.599980364934842
NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1ccccc1,9.596879478824182
CSC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccnc(C)c3)c2cn1)c1ccccc1,9.590235895733654
Cn1nccc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(Cl)c3)c(F)c2)c1,9.590066876668706
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H](c4ccccc4)[C@H]4CCCO4)ncc23)ccn1,9.585193720498989
CS(=O)(=O)NC1CCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)n2)CC1,9.585026652029182
Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H](c4ccccc4)[C@@H]4CCCO4)ncc23)ccn1,9.58236226034777
COC[C@@H](NC(=O)Nc1ncc2c(-c3ccnc(C)c3)n[nH]c2c1F)c1ccccc1,9.570570735618212
C[C@@H](O)[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,9.55129368009492
COC(=O)NC1CCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)n2)CC1,9.549750891680638
COc1cccc(F)c1CN1CCC[C@@H](NC(=O)Nc2cc3[nH]nc(-c4ccnc(C)c4)c3cn2)C1,9.544089759617258
