molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL4113136,0.169,nM,Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(Cl)c3)c(F)c2)c1,9.772113295386326,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163430>
CHEMBL4113197,0.169,nM,Cc1cccc([C@@H](CO)NC(=O)c2ccc(-c3cc(-c4cn(C)nc4C)cnc3N)cc2F)c1,9.772113295386326,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61634a0>
CHEMBL573326,0.17,nM,N[C@H](COc1cncc(-c2ccc3c(c2)C(c2ccco2)C(=O)N3)c1)Cc1c[nH]c2ccccc12,9.769551078621726,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163510>
CHEMBL3654812,0.1709,nM,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CN(C)C[C@H]4c4ccccc4F)ncc23)ccn1,9.767257937279265,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163580>
CHEMBL4114471,0.179,nM,Nc1ncc([C@@H]2CCC(F)(F)[C@@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.747146969020108,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61635f0>
CHEMBL4114294,0.183,nM,Cn1nncc1-c1cnc(N)c(-c2cc(F)c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c(F)c2)c1,9.73754891026957,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163660>
CHEMBL3663002,0.1837,nM,COC[C@@H](NC(=O)Nc1ncc2c(-c3ccncc3)n[nH]c2c1F)c1ccccc1,9.735890843694191,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61636d0>
CHEMBL4112282,0.184,nM,Nc1ncc([C@H]2CC[C@H](F)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.735182176990463,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163740>
CHEMBL4106511,0.187,nM,Nc1ncc(C2CCCCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.7281583934635,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61637b0>
CHEMBL4109063,0.191,nM,Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.718966632752272,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163820>
